Problem,Solver,RelTol,Steps,nfev,Time (s),Status
Lotka-Volterra,RK45,1e-03,63,476,0.0090,success
Lotka-Volterra,RK45,1e-06,249,1664,0.0218,success
Lotka-Volterra,RK45,1e-09,970,5918,0.0661,success
Lotka-Volterra,Radau,1e-03,126,1042,0.0379,success
Lotka-Volterra,Radau,1e-06,654,4804,0.1323,success
Lotka-Volterra,Radau,1e-09,3670,25970,0.7921,success
Robertson,RK45,1e-03,1912,15554,0.1670,failed
Robertson,RK45,1e-06,—,—,60.0000,timeout
Robertson,RK45,1e-09,—,—,60.0000,timeout
Robertson,Radau,1e-03,80,849,0.3494,success
Robertson,Radau,1e-06,317,2484,0.6987,success
Robertson,Radau,1e-09,1695,12319,2.7337,success
